Saved Metrics:
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


ticker,itteration,elapsed time,training performance
,,,val_loss,val_out_reg_loss,val_out_cat_loss,val_out_reg_mse,val_out_reg_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_reg_loss,out_cat_loss,out_reg_mse,out_reg_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,
ABBV,0,0:02:41.613109,3.39632316824397,0.0482022725045681,0.6496756076812744,0.044195447117090225,34.692649841308594,0.6098917126655579,0.6175637245178223,218.0,218.0,135.0,135.0,6.814723201640707,1.3683759,1.0703166,1.3967131,143.02798,0.57164776,0.5720369,806.0,806.0,603.0,603.0,
ABT,0,0:02:55.268110,3.4899458889890775,0.14869831502437592,0.6696122288703918,0.1470421403646469,77.06974029541016,0.6206896305084229,0.6206896305084229,630.0,630.0,385.0,385.0,3.4500302426126033,0.008438298,0.6882796,0.0084438585,102.07924,0.5646217,0.5683666,2307.0,2307.0,1752.0,1752.0,
ALL,0,0:03:09.364112,3.50846562244622,0.17513643205165863,0.6670493483543396,0.17469795048236847,67.09587860107422,0.6768472790718079,0.6768472790718079,687.0,687.0,328.0,328.0,3.431718845090187,0.0100022545,0.6843398,0.010002833,72.77592,0.5684772,0.5723084,2323.0,2323.0,1736.0,1736.0,
AMZN,0,0:03:22.739112,3.4867602905029145,0.1430036723613739,0.6688633561134338,0.14021174609661102,88.84396362304688,0.6729063987731934,0.6729063987731934,683.0,683.0,332.0,332.0,3.439009031012423,0.0033895138,0.6871242,0.003390663,616.65576,0.5563359,0.5624538,2283.0,2283.0,1776.0,1776.0,
BA,0,0:03:36.280113,3.5685458213824943,0.2910601794719696,0.65529865026474,0.2927328944206238,80.01240539550781,0.64871746301651,0.6551724076271057,665.0,665.0,350.0,350.0,3.394675244131415,0.0057828343,0.6777482,0.005780095,195.14084,0.59178835,0.59398866,2411.0,2411.0,1648.0,1648.0,
BABA,0,0:03:39.858109,3.049984161118816,0.06779587268829346,0.5881945490837097,0.06132926791906357,44.46329879760742,0.7518796920776367,0.7518796920776367,200.0,200.0,66.0,66.0,3.331700807227228,0.036228728,0.66059214,0.03622983,390.13055,0.62926114,0.63251877,673.0,673.0,391.0,391.0,
BAC,0,0:03:53.491109,3.399153431765552,0.033012911677360535,0.6735150814056396,0.03312833979725838,29.151187896728516,0.6068965196609497,0.6068965792655945,616.0,616.0,399.0,399.0,3.5251690713488193,0.051839884,0.6945913,0.05184881,78.17294,0.51332045,0.5124415,2080.0,2080.0,1979.0,1979.0,
BMY,0,0:04:07.354113,3.6489448519175864,0.24017247557640076,0.6824785470962524,0.23951055109500885,68.24571228027344,0.5763546824455261,0.5763546824455261,585.0,585.0,430.0,430.0,3.500080870712705,0.045565158,0.6909421,0.045565497,148.08556,0.55918974,0.5580192,2265.0,2265.0,1794.0,1794.0,
BP,0,0:04:20.993451,3.5913913498958343,0.10612104088068008,0.6968339085578918,0.10701905190944672,42.780845642089844,0.4522167444229126,0.4522167444229126,459.0,459.0,556.0,556.0,3.508205953799142,0.039514955,0.6937398,0.03952515,79.18485,0.5200325,0.5173688,2100.0,2100.0,1959.0,1959.0,
BX,0,0:04:29.834450,3.472733360840666,0.0538078136742115,0.6841391921043396,0.05280394107103348,65.74351501464844,0.660855770111084,0.660855770111084,417.0,417.0,214.0,214.0,3.478211592928644,0.012836379,0.6930616,0.012851509,190.93727,0.51695395,0.5275466,1331.0,1331.0,1192.0,1192.0,
CSCO,0,0:04:43.800450,3.491428075987717,0.17085757851600647,0.6640446186065674,0.17013637721538544,63.53083801269531,0.7093596458435059,0.7093595862388611,720.0,720.0,295.0,295.0,3.483886563328576,0.015501627,0.6936693,0.015506534,52.968353,0.5206647,0.5183543,2104.0,2104.0,1955.0,1955.0,
CVX,0,0:04:57.590454,3.598236877460198,0.2586120069026947,0.6681084632873535,0.2594880759716034,59.05448532104492,0.626600980758667,0.626600980758667,636.0,636.0,379.0,379.0,3.466519170983374,0.059655216,0.681366,0.059661016,314.39264,0.5769281,0.58536583,2376.0,2376.0,1683.0,1683.0,
DAL,0,0:05:06.082451,3.6821319473948226,0.23951587080955505,0.6884303689002991,0.2402043640613556,55.74296569824219,0.5517241358757019,0.5517241358757019,352.0,352.0,286.0,286.0,3.518542129915866,0.06758363,0.6902079,0.067611955,194.65448,0.54887843,0.5346923,1364.0,1364.0,1187.0,1187.0,
DD,0,0:05:19.771451,3.5880570794561226,0.15612271428108215,0.6853986978530884,0.15739797055721283,61.626522064208984,0.5596058964729309,0.5596058964729309,568.0,568.0,447.0,447.0,3.4910839725286684,0.031615265,0.69186515,0.031611532,121.22701,0.5392697,0.52944076,2149.0,2149.0,1910.0,1910.0,
DIS,0,0:05:33.669452,3.5539623641028193,0.14354932308197021,0.6823928952217102,0.14337106049060822,70.35489654541016,0.5743842124938965,0.5743842124938965,583.0,583.0,432.0,432.0,3.444338787068989,0.018631278,0.6850988,0.018635333,188.97568,0.5667783,0.5698448,2313.0,2313.0,1746.0,1746.0,
EBAY,0,0:05:47.190453,3.5264845927947848,0.08086032420396805,0.6877468228340149,0.07956333458423615,63.12665557861328,0.5615763664245605,0.5615763664245605,570.0,570.0,445.0,445.0,3.4780838648713144,0.0072971145,0.69415474,0.007297024,118.55432,0.52306604,0.5089924,2066.0,2066.0,1993.0,1993.0,
FB,0,0:05:52.353450,3.0886324048042297,0.05635634437203407,0.6064552664756775,0.05635634437203407,47.58222579956055,0.71875,0.71875,276.0,276.0,108.0,108.0,3.2378942347474915,0.01998595,0.6435061,0.019994508,146.51312,0.6524868,0.6614481,1014.0,1014.0,519.0,519.0,
GE,0,0:06:06.043449,3.5575420689700272,0.08614563196897507,0.6944445967674255,0.0852774977684021,129.90121459960938,0.4167487621307373,0.4167487621307373,423.0,423.0,592.0,592.0,3.5275831307117267,0.036016356,0.6983052,0.036023155,44.51975,0.4800491,0.48731214,1978.0,1978.0,2081.0,2081.0,
GPRO,0,0:06:09.786450,3.472360375973818,0.024571912363171577,0.6907437443733215,0.024617385119199753,3407.7490234375,0.5539568066596985,0.5539568066596985,154.0,154.0,124.0,124.0,3.524187371926089,0.054108083,0.6940629,0.054372612,228.52893,0.5071857,0.5166517,574.0,574.0,537.0,537.0,
HD,0,0:06:23.353984,3.566436093429039,0.16566148400306702,0.6803083419799805,0.16385720670223236,81.15003967285156,0.5793103575706482,0.5793103575706482,588.0,588.0,427.0,427.0,3.4423474195879296,0.0068059107,0.6871592,0.0068083447,156.76042,0.5579879,0.55999017,2273.0,2273.0,1786.0,1786.0,
INTC,0,0:06:37.038983,3.561121733435269,0.2024254947900772,0.6725034713745117,0.20009075105190277,69.4576644897461,0.6561576128005981,0.6561576128005981,666.0,666.0,349.0,349.0,3.488727127163538,0.010777702,0.6955586,0.010774085,97.89658,0.5018323,0.5008623,2033.0,2033.0,2026.0,2026.0,
JD,0,0:06:41.130981,3.1205561919262887,0.016389230266213417,0.618928849697113,0.01501805242151022,34.0523567199707,0.7173144817352295,0.7173144817352295,203.0,203.0,80.0,80.0,3.3989445150426003,0.0067592044,0.67833894,0.0067399945,218.13147,0.5920792,0.58495575,661.0,661.0,469.0,469.0,
JPM,0,0:06:55.322959,3.5757428462869427,0.16240957379341125,0.682844877243042,0.16230475902557373,71.20344543457031,0.5822659730911255,0.5822660326957703,591.0,591.0,424.0,424.0,3.4590377668994905,0.004633686,0.6908769,0.004632218,91.56378,0.5432309,0.53830993,2185.0,2185.0,1874.0,1874.0,
KHC,0,0:06:58.746961,3.6588966468357307,0.16419804096221924,0.6927095055580139,0.16977062821388245,2038.4783935546875,0.453744500875473,0.453744500875473,103.0,103.0,124.0,124.0,3.5849598470972386,0.11012972,0.69560874,0.1107116,72.76481,0.50366104,0.50276244,455.0,455.0,450.0,450.0,
KO,0,0:07:12.769971,3.493086417437774,0.24106794595718384,0.6511369347572327,0.2407151609659195,70.07447814941406,0.6522167325019836,0.6522167325019836,662.0,662.0,353.0,353.0,3.459442787612122,0.033768836,0.6851024,0.033776652,267.2023,0.5706804,0.56738114,2303.0,2303.0,1756.0,1756.0,
KR,0,0:07:27.091970,3.602886721418409,0.12247462570667267,0.6966254711151123,0.12149625271558762,59.03786087036133,0.5389162302017212,0.5389162302017212,547.0,547.0,468.0,468.0,3.47694769884219,0.03882486,0.68762434,0.038843144,113.21024,0.56524366,0.5609756,2277.0,2277.0,1782.0,1782.0,
MRK,0,0:07:42.438973,3.6587817403483274,0.23484404385089874,0.6847100257873535,0.23360271751880646,66.4351577758789,0.5684728622436523,0.5684729218482971,577.0,577.0,438.0,438.0,3.4697802594272513,0.015217086,0.69089246,0.015219548,87.566635,0.5452977,0.54668635,2219.0,2219.0,1840.0,1840.0,
MSFT,0,0:07:58.115546,3.2764174529484342,0.09361527115106583,0.6365464329719543,0.09127691388130188,82.35897827148438,0.7674877643585205,0.7674877047538757,779.0,779.0,236.0,236.0,3.475182086324774,0.0022637134,0.69460887,0.0022654755,114.68388,0.5162935,0.51638335,2096.0,2096.0,1963.0,1963.0,
MU,0,0:08:12.673547,3.5234371276911842,0.07602211833000183,0.6896397471427917,0.07552715390920639,57.384124755859375,0.5891625881195068,0.5891625881195068,598.0,598.0,417.0,417.0,3.498780342885854,0.021327619,0.69547963,0.021340128,142.0521,0.48470992,0.49223948,1998.0,1998.0,2061.0,2061.0,
NWSA,0,0:08:17.374544,3.470870354681304,0.008717101998627186,0.6926365494728088,0.008796058595180511,108.460205078125,0.5303030014038086,0.5303030014038086,175.0,175.0,155.0,155.0,3.4808324571800813,0.010234269,0.694255,0.010324128,34.49052,0.5031827,0.52279633,688.0,688.0,628.0,628.0,
ORCL,0,0:08:31.559011,3.4681203809277763,0.09331266582012177,0.6745114326477051,0.09289105236530304,62.588863372802734,0.6305418014526367,0.6305418610572815,640.0,640.0,375.0,375.0,3.470010029561827,0.013085488,0.6913869,0.013087978,148.35587,0.5380545,0.5343681,2169.0,2169.0,1890.0,1890.0,
PEP,0,0:08:45.099014,3.525910025629504,0.19165556132793427,0.6677054762840271,0.1905379593372345,65.72032165527344,0.6226601004600525,0.6226601004600525,632.0,632.0,383.0,383.0,3.427523930397607,0.015287289,0.68237615,0.015281975,74.56501,0.5755883,0.586844,2382.0,2382.0,1677.0,1677.0,
PFE,0,0:08:58.646012,3.5728858870238507,0.1459522545337677,0.685713529586792,0.1460239589214325,63.6708869934082,0.5871921181678772,0.5871921181678772,596.0,596.0,419.0,419.0,3.459339483878565,0.012464257,0.68937457,0.0124658225,135.22533,0.55328745,0.5523528,2242.0,2242.0,1817.0,1817.0,
PM,0,0:09:07.081013,3.4224768359251696,0.037995532155036926,0.6783482432365417,0.03842047601938248,27.587709426879883,0.5959596037864685,0.5959596037864685,354.0,354.0,240.0,240.0,3.440864096586953,0.060273852,0.67636645,0.06038114,198.68288,0.5950782,0.60227275,1431.0,1431.0,945.0,945.0,
PYPL,0,0:09:10.757012,3.2377170366711088,0.053538743406534195,0.5968602895736694,0.03938189893960953,58.554988861083984,0.6800000071525574,0.6800000071525574,153.0,153.0,72.0,72.0,3.081416189737012,0.028914036,0.5999313,0.029779196,255.23044,0.7149846,0.71571904,642.0,642.0,255.0,255.0,
