Saved Metrics:
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


ticker,itteration,elapsed time,training performance
,,,val_loss,val_out_reg_loss,val_out_cat_loss,val_out_reg_mse,val_out_reg_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_reg_loss,out_cat_loss,out_reg_mse,out_reg_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,
ABBV,0,0:00:05.053168,3.407321503749988,0.07696656137704849,0.6579645276069641,0.06713331490755081,44.39864730834961,0.6175637245178223,0.6175637245178223,218.0,218.0,135.0,135.0,3.4437684501799564,0.03867137,0.67836636,0.039208576,62.86747,0.5809319,0.58623135,826.0,826.0,583.0,583.0,
