Saved Metrics:
Look Back = 120
Prediction Length = 15
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
ABBV,0,2022-06-12 13:20:43.551150,1.2288048298327954,0.08412192761898041,0.11856938898563385,0.10480986535549164,0.12992461025714874,0.08337128907442093,0.6988950371742249,0.08490297943353653,120.075439453125,0.12185018509626389,81.49555206298828,0.10703887045383453,93.0739974975586,0.133245587348938,113.54360961914062,0.08551575988531113,262.5927734375,0.48913076519966125,0.021645022556185722,1388.0,376.0,1280.0,421.0,2.176785284258619,0.31639716,0.39281988,0.30775937,0.36355117,0.09138615,0.69346976,0.31901097,106521.15,0.39592987,185.68243,0.310116,135.34532,0.3662278,85.26304,0.09201314,897.4936,0.49965814,0.024783147,8341.0,4102.0,6002.0,5765.0,1e-04
ABT,0,2022-06-12 13:21:49.478679,0.8932266787977408,0.050065089017152786,0.04842852056026459,0.054047565907239914,0.05208630487322807,0.038859773427248,0.6508741974830627,0.04972856491804123,19.371726989746094,0.048136137425899506,17.977649688720703,0.05367199331521988,21.264041900634766,0.05173864588141441,19.60053825378418,0.03863167762756348,130.05221557617188,0.49018770456314087,0.01821191981434822,6435.0,0.0,2625.0,0.0,1.0089789101830142,0.06377248,0.06676226,0.06805086,0.069358766,0.05312504,0.68787766,0.06377817,123409.51,0.06676927,21595.191,0.06805843,118504.484,0.06936713,41769.613,0.05313191,270.54855,0.4651217,0.070345804,35163.0,535.0,26840.0,792.0,1e-04
ALL,0,2022-06-12 13:22:55.590250,0.891228392424173,0.04673236608505249,0.044715944677591324,0.050763774663209915,0.048578787595033646,0.04069085419178009,0.6582189202308655,0.04687965661287308,103.5110092163086,0.044865936040878296,93.46318054199219,0.050899382680654526,86.4132308959961,0.04872974008321762,88.1609878540039,0.040813080966472626,175.2034149169922,0.4764052629470825,0.08112582564353943,5910.0,0.0,3150.0,0.0,0.9746197581799434,0.059862006,0.058453396,0.0647358,0.063170485,0.046485633,0.68201065,0.05983712,112.12835,0.058429033,3725.907,0.06470926,77947.375,0.06314537,98.34258,0.04648157,342.43393,0.5004159,0.020606348,36570.0,0.0,26760.0,0.0,1e-04
AMZN,0,2022-06-12 13:24:01.076177,0.833446129663101,0.03844932094216347,0.03867628425359726,0.03967020660638809,0.039699822664260864,0.03723018616437912,0.6387871503829956,0.038551777601242065,31.582752227783203,0.038805268704891205,28.957073211669922,0.03976095840334892,85.87699890136719,0.039809077978134155,40.632625579833984,0.03733640909194946,256.28363037109375,0.46133190393447876,0.026490066200494766,6501.0,0.0,2559.0,0.0,0.9665645587393482,0.061146207,0.063352555,0.061378524,0.06379499,0.032491583,0.68447876,0.061128177,6372.4023,0.063332014,28932.197,0.06135988,52590.766,0.063774236,43178.73,0.032487173,266.9427,0.5152342,0.04405495,35709.0,0.0,27621.0,0.0,1e-04
BA,0,2022-06-12 13:25:07.056112,0.9231969583902927,0.04863967373967171,0.047371551394462585,0.05320790037512779,0.050102364271879196,0.0878041610121727,0.6349130868911743,0.048913758248090744,38.47397994995117,0.04764000326395035,33.71405792236328,0.053496669977903366,42.93811798095703,0.050387732684612274,39.58925247192383,0.08815605938434601,281.0348815917969,0.5526100397109985,0.29139071702957153,6240.0,0.0,2820.0,0.0,0.91319908162871,0.047738023,0.048521217,0.050351154,0.05060852,0.044575777,0.67144996,0.047727827,101.91565,0.04851159,109.0356,0.05034059,58407.117,0.050598565,31402.852,0.044569746,316.67813,0.5020425,0.06868783,38355.0,0.0,24975.0,0.0,1e-04
BABA,0,2022-06-12 13:25:26.846003,0.9107585923919261,0.049774374812841415,0.05152108147740364,0.0492144376039505,0.05162409320473671,0.09057611227035522,0.6375909447669983,0.05043733865022659,32.128944396972656,0.0523141548037529,26.984983444213867,0.049677323549985886,114.5218276977539,0.052393507212400436,31.637292861938477,0.07992315292358398,150.55178833007812,0.5206774473190308,0.0382513664662838,1867.0,0.0,878.0,0.0,0.8628537757804667,0.04409648,0.042879876,0.045629937,0.04497159,0.03791955,0.64780134,0.044061136,121.89692,0.042855714,63.33617,0.045585617,128.28409,0.044938292,93.799286,0.037908815,362.08838,0.5503978,0.14364207,12414.0,0.0,6696.0,0.0,1e-04
BAC,0,2022-06-12 13:26:32.554225,0.9318670279142872,0.05118480697274208,0.048929959535598755,0.05472351983189583,0.05307500436902046,0.037387505173683167,0.6851271390914917,0.05143767595291138,70.94770812988281,0.04917927458882332,58.7358283996582,0.05498718097805977,103.58373260498047,0.05335008352994919,134.9530792236328,0.03738582879304886,203.19094848632812,0.5070796608924866,0.01655629090964794,5145.0,0.0,3915.0,0.0,0.9496501543012517,0.04599251,0.045993395,0.049035203,0.04924542,0.065203965,0.69419765,0.045992095,12682.481,0.04599269,33875.25,0.0490349,60813.516,0.049244855,50581.633,0.06519506,221.85046,0.5056326,0.071766935,33957.0,0.0,29373.0,0.0,1e-04
BMY,0,2022-06-12 13:27:37.917417,0.9585323925839354,0.0490681417286396,0.052165281027555466,0.05297532677650452,0.053297583013772964,0.05952205881476402,0.6906482577323914,0.0492243692278862,31717.033203125,0.05232413858175278,86.01836395263672,0.05314470827579498,215.57493591308594,0.05344870686531067,42370.8125,0.05980866774916649,1025.6640625,0.4253979027271271,0.026490066200494766,5025.0,0.0,4035.0,0.0,0.948095244403588,0.048876584,0.050364103,0.05073292,0.051727638,0.059246186,0.68726563,0.048870295,36045.46,0.050359093,125723.53,0.050724883,335920.56,0.051721282,17601.12,0.059154753,240.94878,0.49290222,0.07413548,35323.0,0.0,28005.0,2.0,1e-04
BP,0,2022-06-12 13:28:43.071458,0.9079087743695998,0.04473036900162697,0.044334325939416885,0.04957271367311478,0.047474589198827744,0.03931979089975357,0.6820144057273865,0.04494009166955948,59.993408203125,0.04453763738274574,201425.890625,0.04981790482997894,70.21248626708984,0.04770398512482643,77.37850189208984,0.039261773228645325,180.31626892089844,0.5696444511413574,0.07284767925739288,5103.0,307.0,3353.0,297.0,0.9659408704187564,0.050902765,0.04960201,0.0530133,0.051853985,0.070246495,0.6903679,0.050892483,42546.195,0.049590975,16638.838,0.053002052,25493.82,0.051842645,14222.032,0.0702472,204.75471,0.5233513,0.0959261,33493.0,238.0,29392.0,207.0,1e-04
BX,0,2022-06-12 13:29:25.024188,0.9672206025762656,0.05656566843390465,0.05307318642735481,0.06390412896871567,0.056368108838796616,0.05353387072682381,0.6714640855789185,0.05756017193198204,109.89160919189453,0.053759511560201645,70.36360168457031,0.06535996496677399,141.76593017578125,0.05761808529496193,90.13495635986328,0.056367967277765274,373.3072509765625,0.46097517013549805,0.4819587767124176,3850.0,0.0,1970.0,0.0,0.8982019358455475,0.04021778,0.04069134,0.043773577,0.042576235,0.03969514,0.6909676,0.0402633,13187.662,0.040731404,14455.535,0.04382771,60550.12,0.042621706,31459.318,0.039732557,230.71957,0.49758846,0.081549816,21081.0,567.0,18180.0,822.0,1e-04
